month,market,product_category,us_tariff_pct,order_value_inr,order_units_index,export_margin_pct
2025-01,US,Knitwear,18,450000,70,8.0
2025-02,EU,Sportswear,8,457919,87,15
2025-03,UK,Innerwear,8,465838,104,9
2025-04,Middle East,Kidswear,8,473757,121,16
2025-05,Other,Home Textiles,8,481676,138,10
2025-06,US,Knitwear,33,489595,85,14.3
2025-07,EU,Sportswear,8,497514,102,11
2025-08,UK,Innerwear,8,505433,119,18
2025-09,Middle East,Kidswear,8,513352,136,12
2025-10,Other,Home Textiles,8,521271,83,19
2025-11,US,Knitwear,23,529190,100,12.1
2025-12,EU,Sportswear,8,537109,117,20
2026-01,UK,Innerwear,8,545028,134,14
2026-02,Middle East,Kidswear,8,552947,81,8
2026-03,Other,Home Textiles,8,560866,98,15
2026-04,US,Knitwear,38,568785,115,5.4
2026-05,EU,Sportswear,8,576704,132,16
2026-06,UK,Innerwear,8,584623,79,10
2025-01,Middle East,Kidswear,8,592542,96,17
2025-02,Other,Home Textiles,8,600461,113,11
2025-03,US,Knitwear,28,608380,130,16.2
2025-04,EU,Sportswear,8,616299,77,12
2025-05,UK,Innerwear,8,624218,94,19
2025-06,Middle East,Kidswear,8,632137,111,13
2025-07,Other,Home Textiles,8,640056,128,20
2025-08,US,Knitwear,18,647975,75,14.0
2025-09,EU,Sportswear,8,655894,92,8
2025-10,UK,Innerwear,8,663813,109,15
2025-11,Middle East,Kidswear,8,671732,126,9
2025-12,Other,Home Textiles,8,679651,73,16
2026-01,US,Knitwear,33,687570,90,7.3
2026-02,EU,Sportswear,8,695489,107,17
2026-03,UK,Innerwear,8,703408,124,11
2026-04,Middle East,Kidswear,8,711327,71,18
2026-05,Other,Home Textiles,8,719246,88,12
2026-06,US,Knitwear,23,727165,105,18.1
2025-01,EU,Sportswear,8,735084,122,13
2025-02,UK,Innerwear,8,743003,139,20
2025-03,Middle East,Kidswear,8,750922,86,14
2025-04,Other,Home Textiles,8,758841,103,8
2025-05,US,Knitwear,38,766760,120,11.4
2025-06,EU,Sportswear,8,774679,137,9
2025-07,UK,Innerwear,8,782598,84,16
2025-08,Middle East,Kidswear,8,790517,101,10
2025-09,Other,Home Textiles,8,798436,118,17
2025-10,US,Knitwear,28,806355,135,9.2
2025-11,EU,Sportswear,8,814274,82,18
2025-12,UK,Innerwear,8,822193,99,12
2026-01,Middle East,Kidswear,8,830112,116,19
2026-02,Other,Home Textiles,8,838031,133,13
2026-03,US,Knitwear,18,845950,80,20.0
2026-04,EU,Sportswear,8,853869,97,14
2026-05,UK,Innerwear,8,861788,114,8
2026-06,Middle East,Kidswear,8,869707,131,15
2025-01,Other,Home Textiles,8,877626,78,9
2025-02,US,Knitwear,33,885545,95,13.3
2025-03,EU,Sportswear,8,893464,112,10
2025-04,UK,Innerwear,8,901383,129,17
2025-05,Middle East,Kidswear,8,909302,76,11
2025-06,Other,Home Textiles,8,917221,93,18
2025-07,US,Knitwear,23,925140,110,11.1
2025-08,EU,Sportswear,8,933059,127,19
2025-09,UK,Innerwear,8,940978,74,13
2025-10,Middle East,Kidswear,8,948897,91,20
2025-11,Other,Home Textiles,8,956816,108,14
2025-12,US,Knitwear,38,964735,125,4.4
2026-01,EU,Sportswear,8,972654,72,15
2026-02,UK,Innerwear,8,980573,89,9
2026-03,Middle East,Kidswear,8,988492,106,16
2026-04,Other,Home Textiles,8,996411,123,10
2026-05,US,Knitwear,28,1004330,70,15.2
2026-06,EU,Sportswear,8,1012249,87,11
2025-01,UK,Innerwear,8,1020168,104,18
2025-02,Middle East,Kidswear,8,1028087,121,12
2025-03,Other,Home Textiles,8,1036006,138,19
2025-04,US,Knitwear,18,1043925,85,13.0
2025-05,EU,Sportswear,8,1051844,102,20
2025-06,UK,Innerwear,8,1059763,119,14
2025-07,Middle East,Kidswear,8,1067682,136,8
2025-08,Other,Home Textiles,8,1075601,83,15
2025-09,US,Knitwear,33,1083520,100,6.3
2025-10,EU,Sportswear,8,1091439,117,16
2025-11,UK,Innerwear,8,1099358,134,10
2025-12,Middle East,Kidswear,8,1107277,81,17
2026-01,Other,Home Textiles,8,1115196,98,11
2026-02,US,Knitwear,23,1123115,115,17.1
2026-03,EU,Sportswear,8,1131034,132,12
2026-04,UK,Innerwear,8,1138953,79,19
2026-05,Middle East,Kidswear,8,1146872,96,13
2026-06,Other,Home Textiles,8,1154791,113,20
2025-01,US,Knitwear,38,1162710,130,10.4
2025-02,EU,Sportswear,8,1170629,77,8
2025-03,UK,Innerwear,8,1178548,94,15
2025-04,Middle East,Kidswear,8,1186467,111,9
2025-05,Other,Home Textiles,8,1194386,128,16
2025-06,US,Knitwear,28,1202305,75,8.2
2025-07,EU,Sportswear,8,1210224,92,17
2025-08,UK,Innerwear,8,1218143,109,11
2025-09,Middle East,Kidswear,8,1226062,126,18
2025-10,Other,Home Textiles,8,1233981,73,12
2025-11,US,Knitwear,18,1241900,90,19.0
2025-12,EU,Sportswear,8,1249819,107,13
2026-01,UK,Innerwear,8,1257738,124,20
2026-02,Middle East,Kidswear,8,1265657,71,14
2026-03,Other,Home Textiles,8,1273576,88,8
2026-04,US,Knitwear,33,1281495,105,12.3
2026-05,EU,Sportswear,8,1289414,122,9
2026-06,UK,Innerwear,8,1297333,139,16
2025-01,Middle East,Kidswear,8,1305252,86,10
2025-02,Other,Home Textiles,8,1313171,103,17
2025-03,US,Knitwear,23,1321090,120,10.1
2025-04,EU,Sportswear,8,1329009,137,18
2025-05,UK,Innerwear,8,1336928,84,12
2025-06,Middle East,Kidswear,8,1344847,101,19
2025-07,Other,Home Textiles,8,1352766,118,13
2025-08,US,Knitwear,38,1360685,135,16.4
2025-09,EU,Sportswear,8,1368604,82,14
2025-10,UK,Innerwear,8,1376523,99,8
2025-11,Middle East,Kidswear,8,1384442,116,15
2025-12,Other,Home Textiles,8,1392361,133,9
2026-01,US,Knitwear,28,1400280,80,14.2
2026-02,EU,Sportswear,8,1408199,97,10
2026-03,UK,Innerwear,8,1416118,114,17
2026-04,Middle East,Kidswear,8,1424037,131,11
2026-05,Other,Home Textiles,8,1431956,78,18
2026-06,US,Knitwear,18,1439875,95,12.0
2025-01,EU,Sportswear,8,1447794,112,19
2025-02,UK,Innerwear,8,1455713,129,13
2025-03,Middle East,Kidswear,8,1463632,76,20
2025-04,Other,Home Textiles,8,1471551,93,14
2025-05,US,Knitwear,33,1479470,110,5.3
2025-06,EU,Sportswear,8,1487389,127,15
2025-07,UK,Innerwear,8,1495308,74,9
2025-08,Middle East,Kidswear,8,1503227,91,16
2025-09,Other,Home Textiles,8,1511146,108,10
2025-10,US,Knitwear,23,1519065,125,16.1
2025-11,EU,Sportswear,8,1526984,72,11
2025-12,UK,Innerwear,8,1534903,89,18
2026-01,Middle East,Kidswear,8,1542822,106,12
2026-02,Other,Home Textiles,8,1550741,123,19
2026-03,US,Knitwear,38,1558660,70,9.4
2026-04,EU,Sportswear,8,1566579,87,20
2026-05,UK,Innerwear,8,1574498,104,14
2026-06,Middle East,Kidswear,8,1582417,121,8
2025-01,Other,Home Textiles,8,1590336,138,15
2025-02,US,Knitwear,28,1598255,85,7.2
2025-03,EU,Sportswear,8,1606174,102,16
2025-04,UK,Innerwear,8,1614093,119,10
2025-05,Middle East,Kidswear,8,1622012,136,17
2025-06,Other,Home Textiles,8,1629931,83,11
